CB Constituent ID,CB Constituent Type,CB First Name,CB Last Name,CB Company Name,CB Created At,CB Title,CB Tags,CB Background Information,CB Email 1 (Standardized),CB Email 2 (Standardized),CB Lifetime Donation Amount,CB Most Recent Donation Date,CB Most Recent Donation Amount
8977,Person,James,Baker,,2020-01-19 00:00:00,Dr.,Student Scholar,Marital Status: Unknown,walkerjeremy@long.org,hfoster@yahoo.com,,,
2798,Person,Jessica,Sheppard,,2019-08-20 00:00:00,Mr.,"Major Donor, Summer 2016",Job Title: Graphic Designer; Marital Status: Married,tarasanchez@robinson.com,cgreen@hotmail.com,,,
3660,Company,,,Vaughn LLC,2018-03-20 00:00:00,,Summer 2016,Marital Status: Married,wcochran@hotmail.com,mckeeeric@ellis.com,,,
5966,Person,Jared,Burns,,2024-04-24 00:00:00,Dr.,"Pitch Perfect, Major Donor",Job Title: Administrative Assistant; Marital Status: Single,frazierjanice@gmaill.com,gmartinez@koch.org,$13100,2024-02-14,$10000
5034,Person,Courtney,Haney,,2017-07-02 00:00:00,Mr.,Pitch Perfect,Marital Status: Unknown,,,$1500,2022-07-25,$250
5287,Company,,,Retired,2021-10-30 00:00:00,,"Major Donor, Student Scholar, Board Member",Marital Status: Unknown,theodorewilson@blair.com,stephenweeks@barron.com,$9000,2023-08-15,$5000
8101,Person,James,Pope,,2019-05-09 00:00:00,Ms.,,Job Title: Sales Executive; Marital Status: Married,howardcarlos@gmail.com,,$4500,2023-04-02,$500
8548,Person,Nicholas,Cooper,,2022-09-25 00:00:00,,"Pitch Perfect, Summer 2016, Board Member",Marital Status: Unknown,laurenfields@yahoo.com,oserrano@hotmail.com,$6500,2022-01-01,$500
7040,Person,Patrick,Woods,,2022-04-19 00:00:00,,Summer 2016,Marital Status: Unknown,vanessa45@yaho.com,,$100,2024-07-25,$100
6523,Person,Michele,Burton,,2016-12-31 00:00:00,Mr.,"Major Donor, Camp 2016",Marital Status: Unknown,browneric@patton.biz,,,,
9432,Company,,,"Green, Evans and Evans",2021-02-13 00:00:00,,"Summer 2016, Student Scholar",Job Title: Marketing Manager; Marital Status: Married,joshuaparker@hotmal.com,perezsarah@yahoo.com,$15000,2019-06-20,$10000
3194,Person,David,Villanueva,,2022-12-16 00:00:00,,"Pitch Perfect, Camp 2016, Student Scholar",Job Title: Marketing Manager; Marital Status: Unknown,collierdiana@ortiz.com,,$5050,2020-03-23,$5000
6339,Person,Allen,Valentine,,2022-10-15 00:00:00,,"Major Donor, Student Scholar",Job Title: Operations Manager; Marital Status: Single,mckaylinda@hotmail.com,,$1500,2022-07-24,$1000
3054,Person,Cody,Wright,,2022-08-05 00:00:00,Dr.,"Major Donor, Board Member",Marital Status: Unknown,yjohns@bass.com,,,,
9827,Person,Cynthia,Vasquez,,2021-09-12 00:00:00,Ms.,"Major Donor, Board Member",Job Title: Business Analyst; Marital Status: Married,ryan82@yahoo.com,mark55@yahoo.com,$1250,2024-12-26,$1000
1288,Person,Rebecca,Maynard,,2021-06-23 00:00:00,Mrs.,"Major Donor, Summer 2016",Job Title: Data Scientist; Marital Status: Single,ellendavis@smith.com,john56@stone.org,$700,2023-04-01,$100
5032,Company,,,Johnson-Mills,2018-03-21 00:00:00,,"Pitch Perfect, Major Donor, Major Donor 2022",Marital Status: Unknown,simpsondouglas@ortiz-miles.net,allen24@yahoo.com,$3050,2021-12-13,$50
3240,Company,,,Davis-Anthony,2018-03-09 00:00:00,,Pitch Perfect,Job Title: Nurse Practitioner; Marital Status: Unknown,hartjames@hotmail.com,hhoward@silva.org,$2000,2020-09-16,$1000
8308,Person,Robert,Donovan,,2021-01-20 00:00:00,Ms.,Pitch Perfect,Marital Status: Unknown,jennifernorton@hotmail.com,langtanya@gmal.com,$500,2020-04-27,$250
3434,Person,Anne,Martinez,,2018-05-23 00:00:00,Dr.,"Major Donor, Board Member",Job Title: Financial Analyst; Marital Status: Single,alejandro66@patrick-curry.biz,mooresusan@yaho.com,$1500,2021-08-02,$1000
5049,Person,Robert,Powers,,2017-04-02 00:00:00,Mrs.,"Pitch Perfect, Major Donor, Camp 2016",Marital Status: Unknown,sperez@martinez.com,mendezmichelle@joseph-harris.info,$3100,2024-08-04,$3000
6846,Person,James,Nichols,,2022-02-04 00:00:00,,"Summer 2016, Major Donor",Marital Status: Unknown,andreahines@yahoo.com,courtneychang@hotmail.com,$100,2020-03-11,$100
6020,Person,Katherine & dan,Johnson,,2015-12-26 00:00:00,,"Pitch Perfect, Major Donor, Student Scholar",Job Title: UX Designer; Marital Status: Unknown,,,$5000,2023-03-01,$5000
4348,Company,,,Ramos PLC,2015-11-27 00:00:00,,"Major Donor, Summer 2016, Student Scholar",Marital Status: Unknown,cmarshall@hobbs.net,,$4000,2020-08-20,$3000
2976,Person,,,,2022-05-25 00:00:00,,,,ssanders@hotmail.com,,$4000,2024-03-17,$3000
8309,Company,,,Stephenson Ltd,2021-07-20 00:00:00,,"Camp 2016, Board Member",Job Title: Nurse Practitioner; Marital Status: Unknown,,,$150,2020-11-10,$50
9859,Person,James,Burns,,2015-06-24 00:00:00,Dr.,"Pitch Perfect, Major Donor",Job Title: Administrative Assistant; Marital Status: Unknown,michael43@hall-lee.com,harperluke@gmail.com,$3050,2019-12-12,$3000
5301,Person,Maureen,Weber,,2021-08-09 00:00:00,,"Pitch Perfect, Major Donor, Summer 2016, VIP",Job Title: Business Analyst; Marital Status: Unknown,corey36@gmail.com,zacharywilliams@hotmail.com,$20000,2022-12-24,$10000
5767,Person,Chase,Pena,,2020-11-20 00:00:00,,"Pitch Perfect, Major Donor, Tag Test",Job Title: Graphic Designer; Marital Status: Married,richard99@hampton.com,,$5350,2024-12-20,$250
4926,Person,Joshua,Rush,,2018-03-20 00:00:00,,,Marital Status: Unknown,,,$10600,2020-04-17,$100
1089,Person,Erica,Simmons,,2016-04-16 00:00:00,Mrs.,"Summer 2016, Major Donor, Student Scholar",Job Title: Business Analyst; Marital Status: Single,samantha08@hotmail.com,andrewsrandy@howard.com,$1550,2018-10-07,$500
4051,Person,Julia,Spencer,,2024-01-28 00:00:00,Mr.,Major Donor,Job Title: Accountant; Marital Status: Married,william10@hotmail.com,barrettsean@yahoo.com,$4050,2024-09-05,$50
3514,Person,Kevin,Howard,,2015-11-07 00:00:00,Mrs.,"Pitch Perfect, Major Donor, Summer 2016",Marital Status: Unknown,christopher25@rodriguez.com,plam@hotmail.com,$10500,2024-07-06,$250
